timestamp,spot,gex_total,flip_point,dex_btc_total,dex_usd_total,vega_total,charmex_total,vannaex_total,volgaex_magnitud,call_wall,put_wall,resistencia_cercana,soporte_cercano,tipo_regimen,confianza_regimen,sesgo_score,sesgo_alineado,riesgo_aceleracion,snapshot_ts
,64522.7,34639604.437255986,,1394.627701,89985144.76331268,57208.886044,-703.055561193806,34.99538793854674,297023.076122852,65000.0,64000.0,,,RANGO / REVERSION (long gamma),71.42857142857143,72.32142857142857,True,,2026-08-06 01:17:39.627179+00:00
,64599.08,37497236.70883565,,1428.738975,92295223.345143,47376.147489,-802.8540087959774,28.49854511165577,249861.9284362488,65000.0,64000.0,,,RANGO / REVERSION (long gamma),71.42857142857143,72.32142857142857,True,,2026-08-06 04:52:56.024724+00:00
,64725.76,26641175.67778709,,1373.0534770000002,88871929.81946753,46927.223984,-409.3242954797759,22.13116162781056,232663.9290917113,64000.0,64000.0,,,RANGO / REVERSION (long gamma),71.42857142857143,72.32142857142857,True,,2026-08-06 08:11:36.320897+00:00
2026-07-30 23:47:55.953360+00:00,64831.84,64184468.969524994,63312.61562032782,1666.4589239999998,108039598.32734014,35541.336584000004,-346.8904463162045,7.0762729457730895,133503.34905682376,65000.0,65000.0,65000.0,64500.0,RANGO / REVERSIÓN (long gamma),65.15151515151516,73.86363636363636,True,21.21212121212121,
2026-07-31 01:28:02.320007+00:00,65112.69,65921789.90000448,63344.54951922865,2420.9112490000007,157632043.67364985,28474.064990000003,-72.32253825555517,-0.0437793555015719,103844.06666202364,65000.0,65000.0,65500.0,65000.0,RANGO / REVERSIÓN (long gamma),50.0,15.0,False,13.636363636363637,
2026-07-31 05:22:00.011942+00:00,64330.18,51500467.69078685,63527.63785603808,780.5862140000004,50215251.65213855,13209.58975,-1313.7867653364724,7.556714189174145,48190.05777769638,64000.0,64000.0,64500.0,64000.0,RANGO / REVERSIÓN (long gamma),73.48484848484848,69.31818181818181,True,16.666666666666664,
2026-07-31 08:29:15.220138+00:00,63910.32,-5165213.685984485,64465.53107980844,-65.87199100000001,-4209900.023847121,16071.302864,-144.18416917623867,10.536879037268664,66109.41992383098,65000.0,63000.0,64000.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),33.33333333333333,-1.1363636363636365,False,37.87878787878788,
2026-07-31 11:51:08.119187+00:00,63770.18,-6975419.153193591,64394.48032971713,-147.52812900000004,-9407895.341393225,17454.739357,-177.34868190511116,12.166889004691429,69928.43908516878,64000.0,63000.0,64000.0,63500.0,TENDENCIA / EXPANSIÓN (short gamma),38.63636363636363,-4.090909090909091,False,31.818181818181817,
2026-07-31 13:26:10.743441+00:00,63760.21,-6226349.468675095,64282.5949422691,-130.29497300000003,-8307634.840424332,17185.291682000003,-196.6077576869681,12.380659051971945,69084.35237955335,64000.0,63000.0,64000.0,63500.0,TENDENCIA / EXPANSIÓN (short gamma),39.01515151515152,-2.5,False,33.33333333333333,
2026-07-31 15:52:06.641129+00:00,62659.99,-23466399.464980967,64085.51507076538,-760.6815109999999,-47664295.87244488,25227.483804,-239.85269815444263,12.789650913444142,68716.90450154107,63000.0,62000.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),51.89393939393939,-11.363636363636362,False,1.5151515151515151,
2026-07-31 17:15:56.013483+00:00,62817.55,-23224208.66001344,63876.216961392376,-598.15789,-37574813.1629695,22084.945004,-264.3538268357924,15.873233716516614,89302.94489475158,63000.0,62500.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),54.16666666666667,-10.454545454545457,False,34.84848484848485,
